ID,ENTRYTYPE,abstract,author,doi,eprint,journal,keywords,number,pages,title,url,volume,year
https://doi.org/10.1049/iet-rsn.2018.5603,article,"The traditional synthetic aperture radar (SAR) platform positioning methods based on the range-Doppler domain data, velocity and altitude information of the platform exist a large approximation error, which will not satisfy the requirement of accurate navigation. Additionally, the traditional positioning methods for solving non-linear equations are challenging due to the risk of falling into local optimal solution. In order to solve these problems, a new robust SAR platform positioning method based on the improved Gauss–Newton–genetic hybrid (GNGH) algorithm is proposed in this study. First, the position information of multi-feature points in geographic and imaging coordinate systems is acquired by adopting the image matching. Furthermore, the coordinate transformation is introduced to realise the uniform of feature point coordinates between the different coordinate systems. Finally, the accurate position of the platform is calculated through introducing GNGH algorithm to solve the non-linear equations constructed by the corresponding slant range information. So the trajectory deviation can be corrected effectively. Moreover, the proposed method can reduce the computation load and positioning error dramatically. The effectiveness of the proposed approach is confirmed and demonstrated via simulation and experimental results.","Liang, Yi and Sun, Kun and Dang, Yanfeng and Li, Qingqing and Wu, Jianxin and Xing, Mengdao",https://doi.org/10.1049/iet-rsn.2018.5603,https://onlinelibrary.wiley.com/doi/pdf/10.1049/iet-rsn.2018.5603,"IET Radar, Sonar \& Navigation","Newton method, genetic algorithms, image matching, synthetic aperture radar, radar imaging, approximation theory, nonlinear equations, range-Doppler domain data, altitude information, nonlinear equations, local optimal solution, robust SAR platform, position information, multifeature points, synthetic aperture radar, coordinate systems, slant range information, SAR platform positioning, GNGH algorithm, Gauss–Newton–genetic hybrid algorithm, approximation error, geographic coordinate systems, imaging coordinate systems, image matching, trajectory deviation",7,1154-1161,SAR platform positioning method based on improved Gauss–Newton–genetic hybrid algorithm,https://onlinelibrary.wiley.com/doi/abs/10.1049/iet-rsn.2018.5603,13,2019
https://doi.org/10.1155/2020/5684939,article,"It has been observed that the structure of whale optimization algorithm (WOA) is good at exploiting capability, but it easily suffers from premature convergence. Hybrid metaheuristics are of the most interesting recent trends for improving the performance of WOA. In this paper, a hybrid algorithm framework with learning and complementary fusion features for WOA is designed, called hWOAlf. First, WOA is integrated with complementary feature operators to enhance exploration capability. Second, the proposed algorithm framework adopts a learning parameter lp according to adaptive adjustment operator to replace the random parameter p. To further verify the efficiency of the hWOAlf, the DE/rand/1 operator of differential evolution (DE) and the mutate operator of backtracking search optimization algorithm (BSA) are embedded into WOA, respectively, to form two new algorithms called WOA-DE and WOA-BSA under the proposed framework. Twenty-three benchmark functions and six engineering design problems are employed to test the performance of WOA-DE and WOA-BSA. Experimental results show that WOA-DE and WOA-BSA are competitive compared with some state-of-the-art algorithms.","Tong, Wangyu",https://doi.org/10.1155/2020/5684939,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2020/5684939,Scientific Programming,,1,5684939,A Hybrid Algorithm Framework with Learning and Complementary Fusion Features for Whale Optimization Algorithm,https://onlinelibrary.wiley.com/doi/abs/10.1155/2020/5684939,2020,2020
https://doi.org/10.1002/qute.70310,article,"ABSTRACT Existing surveys of quantum algorithms largely treat noisy intermediate-scale quantum (nisq) heuristics and fault-tolerant (ft) protocols in isolation. This review bridges that divide through a primitives-to-patterns framework, decomposing modern quantum algorithms into seven reusable building blocks, namely block-encodings, quantum signal processing (qsp), quantum singular value transformation (qsvt), amplitude amplification, quantum walks, shadow tomography, and variational ansatz circuits, from which eight recurring design patterns are extracted. The framework supplies: (i) lifecycle mappings from problem formulations through nisq-feasible heuristics to asymptotically optimal ft algorithms, with particular scrutiny of the nascent early fault-tolerant regime; (ii) multi-dimensional algorithm comparisons by T-count, circuit depth, qubit overhead, and classical co-processing cost under explicit error-correction assumptions; (iii) decision guidelines linking problem characteristics to algorithm families alongside regime-dependent caveats; (iv) a consolidated treatment of trainability barriers, classical simulability bounds, shadow-based certification, and error-mitigation strategies; and (v) an evidence-grounded appraisal of recent “Willow era” benchmarks redefining verifiable quantum utility. Validation against end-to-end resource estimates for quantum chemistry, combinatorial optimization, machine learning, and differential-equation solvers exposes boundary cases and failure modes. A research roadmap highlights under-explored primitive, problem, and hardware combinations alongside open questions that remain beyond the framework's current reach.","Miriyala, Sapthagiri and Chirra, Venkata Ramireddy",https://doi.org/10.1002/qute.70310,https://onlinelibrary.wiley.com/doi/pdf/10.1002/qute.70310,Advanced Quantum Technologies,"block-encoding, design patterns, fault-tolerant quantum computing, NISQ, quantum error correction, quantum machine learning, quantum singular value transformation, variational quantum algorithms",6,e70310,From Quantum Algorithm Primitives to Design Patterns: A Unified Framework for NISQ and Fault-Tolerant Regimes,https://onlinelibrary.wiley.com/doi/abs/10.1002/qute.70310,9,2026
