ID,ENTRYTYPE,author,title,year,doi,url,abstract,journal,booktitle,volume,number,pages,publisher,keywords,series,location,numpages,address,isbn,articleno,month,issue_date,issn
10.1145/3529398,article,"Suau, Adrien and Staffelbach, Gabriel and Todri-Sanial, Aida",qprof: A gprof-Inspired Quantum Profiler,2022,10.1145/3529398,https://doi.org/10.1145/3529398,"We introduce qprof, a new and extensible quantum program profiler able to generate profiling reports of quantum circuits written using various quantum computing frameworks. We describe the internal structure and working of qprof and provide practical examples on quantum circuits with increasing complexity along with benchmarks of the tool execution time on large circuits. This tool will allow researchers to visualise their quantum algorithm implementation in a different and complementary way and reliably localise the bottlenecks for efficient code optimisation.",ACM Transactions on Quantum Computing,,4,1,,Association for Computing Machinery,"Quantum, computing, profiler",,,28,"New York, NY, USA",,4,October,March 2023,
10.1145/3776731,article,"Heunen, Chris and Lemonnier, Louis and McNally, Christopher and Rice, Alex",Quantum Circuits Are Just a Phase,2026,10.1145/3776731,https://doi.org/10.1145/3776731,"Quantum programs today are written at a low level of abstraction - quantum circuits akin to assembly languages - and the unitary parts of even advanced quantum programming languages essentially function as circuit description languages. This state of affairs impedes scalability, clarity, and support for higher-level reasoning. More abstract and expressive quantum programming constructs are needed.    To this end, we introduce a simple syntax for generating unitaries from ""just a phase""; we combine a (global) phase operation that captures phase shifts with a quantum analogue of the ""if let"" construct that captures subspace selection via pattern matching. This minimal language lifts the focus from gates to eigendecomposition, conjugation, and controlled unitaries; common building blocks in quantum algorithm design.    We demonstrate several aspects of the expressive power of our language in several ways. Firstly, we establish that our representation is universal by deriving a universal quantum gate set. Secondly, we show that important quantum algorithms can be expressed naturally and concisely, including Grover's search algorithm, Hamiltonian simulation, Quantum Fourier Transform, Quantum Signal Processing, and the Quantum Eigenvalue Transformation. Furthermore, we give clean denotational semantics grounded in categorical quantum mechanics. Finally, we implement a prototype compiler that efficiently translates terms of our language to quantum circuits, and prove that it is sound with respect to these semantics. Collectively, these contributions show that this construct offers a principled and practical step toward more abstract and structured quantum programming.",Proc. ACM Program. Lang.,,10,POPL,,Association for Computing Machinery,"Quantum circuits, if let, independent coproduct, phase",,,28,"New York, NY, USA",,89,January,January 2026,
10.1145/3695252,article,"Tseng, Wei-Hsiang and Chang, Yao-Wen",A Bridge-based Algorithm for Simultaneous Primal and Dual Defects Compression on Topologically Quantum-error-corrected Circuits,2024,10.1145/3695252,https://doi.org/10.1145/3695252,"Topological quantum error correction (TQEC) using the surface code is among the most promising techniques for fault-tolerant quantum circuits. The required resource of a TQEC circuit can be modeled as a space-time volume of a three-dimensional diagram by describing the defect movement along the time axis. For large-scale complex problems, it is crucial to minimize the space-time volume for a quantum algorithm with a reasonable physical qubit number and computation time. Previous work proposed an automated tool for bridge compression on a large-scale TQEC circuit. However, the existing automated bridge compression is only for dual defects and not for primal defects. This paper presents an algorithm to simultaneously perform bridge compression on primal and dual defects. In addition, the automatic compression algorithm performs initialization/measurement simplification and flipping to improve the compression. Compared with the state-of-the-art work, experimental results show that our proposed algorithm can averagely reduce space-time volumes by 53%.",ACM Trans. Des. Autom. Electron. Syst.,,29,6,,Association for Computing Machinery,"Physical design, topological quantum error correction, bridge compression, quantum design automation, quantum computing, braided quantum circuit, space-time volume minimization",,,22,"New York, NY, USA",,99,October,November 2024,1084-4309
10.1145/3688856,article,"Gemeinhardt, Felix and Garmendia, Antonio and Wimmer, Manuel and Wille, Robert",A Model-Driven Framework for Composition-Based Quantum Circuit Design,2024,10.1145/3688856,https://doi.org/10.1145/3688856,"Quantum programming languages support the design of quantum applications. However, to create such programs, one needs to understand the fundamental characteristics of quantum computing and quantum information theory. Furthermore, quantum algorithms frequently make use of abstract operations with a hidden low-level realization (e.g., Quantum Fourier Transform). Thus, turning from elementary quantum operations to a higher-level view of quantum circuit design not only reduces the development effort but also lowers the entry barriers for non-quantum computing experts.To this end, this article proposes a modeling language and design framework for quantum circuits. This allows the definition of composite operators to advocate a higher-level quantum algorithm design, together with automated code generation for the circuit execution. To demonstrate the benefits of the proposed approach, coined Composition-based Quantum Circuit Designer, we applied it for realizing the Quantum Counting algorithm and the Quantum Approximate Optimization Algorithm. Our evaluation results show that, compared to an existing state-of-the-art editor, the proposed approach allows for the realization of both quantum algorithms on a high level with a substantially reduced development effort. In particular, the proposed approach shows constant scaling when increasing the size of the investigated quantum circuits and a lower change criticality when evolving existing quantum circuits.",ACM Transactions on Quantum Computing,,5,4,,Association for Computing Machinery,"Quantum computing, quantum software engineering, quantum circuits, model-driven engineering, quantum software languages",,,36,"New York, NY, USA",,23,October,December 2024,
10.1145/3712255.3726676,inproceedings,"Uribe, Lourdes and Andrade-Ibarra, Yael and Lara, Adriana",Riesz Energy-Based Hybrid Algorithms for Constrained Multi-Objective Optimization,2025,10.1145/3712255.3726676,https://doi.org/10.1145/3712255.3726676,"In recent years, hybrid algorithms have demonstrated significant potential for addressing constrained multi-objective optimization problems by combining global exploration with local exploitation. A central challenge in such approaches lies in designing effective local search mechanisms that maintain diversity while ensuring convergence to high-quality solution sets. This work integrates a local search strategy into the NSGA-II framework, guided by the Riesz Energy Indicator, to enhance the search process. We introduce a novel candidate selection scheme for local search based on the individual contribution of each population member; a property inherited by the Riesz Energy Indicator. Different approaches were evaluated to exploit this property. The numerical results show that the proposed hybrid algorithm improves both convergence and diversity, highlighting the advantages of incorporating local search strategies informed by the Riesz Energy indicator.",,Proceedings of the Genetic and Evolutionary Computation Conference Companion,,,583–586,Association for Computing Machinery,"local search, hybridization, constraint handling, multi-objective optimization",GECCO '25 Companion,"NH Malaga Hotel, Malaga, Spain",4,"New York, NY, USA",9798400714641,,,,
10.1145/3618260.3649650,inproceedings,"Lombardi, Alex and Ma, Fermi and Wright, John",A One-Query Lower Bound for Unitary Synthesis and Breaking Quantum Cryptography,2024,10.1145/3618260.3649650,https://doi.org/10.1145/3618260.3649650,"The Unitary Synthesis Problem (Aaronson-Kuperberg 2007) asks whether any n-qubit unitary U can be implemented by an efficient quantum algorithm A augmented with an oracle that computes an arbitrary Boolean function f. In other words, can the task of implementing any unitary be efficiently reduced to the task of implementing any Boolean function? In this work, we prove a one-query lower bound for unitary synthesis. We show that there exist unitaries U such that no quantum polynomial-time oracle algorithm Af can implement U, even approximately, if it only makes one (quantum) query to f. Our approach also has implications for quantum cryptography: we prove (relative to a random oracle) the existence of quantum cryptographic primitives that remain secure against all one-query adversaries Af. Since such one-query algorithms can decide any language, solve any classical search problem, and even prepare any quantum state, our result suggests that implementing random unitaries and breaking quantum cryptography may be harder than all of these tasks.   To prove this result, we formulate unitary synthesis as an efficient challenger-adversary game, which enables proving lower bounds by analyzing the maximum success probability of an adversary Af. Our main technical insight is to identify a natural spectral relaxation of the one-query optimization problem, which we bound using tools from random matrix theory.   We view our framework as a potential avenue to rule out polynomial-query unitary synthesis, and we state conjectures in this direction.",,Proceedings of the 56th Annual ACM Symposium on Theory of Computing,,,979–990,Association for Computing Machinery,"Pseudorandom States, Quantum Cryptography, Quantum Query Complexity, Unitary Synthesis",STOC 2024,"Vancouver, BC, Canada",12,"New York, NY, USA",9798400703836,,,,
10.1145/3717823.3718319,inproceedings,"Chailloux, Andr\'{e} and Tillich, Jean-Pierre",Quantum Advantage from Soft Decoders,2025,10.1145/3717823.3718319,https://doi.org/10.1145/3717823.3718319,"In the last years, Regev’s reduction has been used as a quantum algorithmic tool for providing a quantum advantage for variants of the decoding problem. Following this line of work, there has recently been a new design for a quantum algorithm called “Decoded Quantum Interferometry” that is able to solve in polynomial time several optimization problems. They study in particular the Optimal Polynomial Interpolation (OPI) problem, which can be seen as a decoding problem on Reed-Solomon codes.       In this work, we provide strong improvements for some instantiations of the OPI problem. The most notable improvements are for the ISIS∞ problem (originating from lattice-based cryptography) on Reed-Solomon codes but we also study different constraints for OPI. Our results provide natural and convincing decoding problems for which we believe to have a quantum advantage.    Our proof techniques involve the use of a soft decoder for Reed-Solomon codes, namely the decoding algorithm from Koetter and Vardy. In order to be able to use this decoder in the setting of Regev’s reduction, we provide a novel generic reduction from a syndrome decoding problem to a coset sampling problem, providing a powerful and simple to use theorem, which generalizes previous work and is of independent interest. We also provide an extensive study of OPI using the Koetter and Vardy algorithm.",,Proceedings of the 57th Annual ACM Symposium on Theory of Computing,,,738–749,Association for Computing Machinery,"Regev's reduction, code-based cryptography, polynomial interpolation, quantum algorithms",STOC '25,"Prague, Czechia",12,"New York, NY, USA",9798400715105,,,,
10.1145/3456807,article,"Boroujeni, Mahdi and Ehsani, Soheil and Ghodsi, Mohammad and Hajiaghayi, Mohammadtaghi and Seddighin, Saeed",Approximating Edit Distance in Truly Subquadratic Time: Quantum and MapReduce,2021,10.1145/3456807,https://doi.org/10.1145/3456807,"The edit distance between two strings is defined as the smallest number of insertions, deletions, and substitutions that need to be made to transform one of the strings to another one. Approximating edit distance in subquadratic time is “one of the biggest unsolved problems in the field of combinatorial pattern matching”&nbsp;[37]. Our main result is a quantum constant approximation algorithm for computing the edit distance in truly subquadratic time. More precisely, we give an  quantum algorithm that approximates the edit distance within a factor of 3. We further extend this result to an  quantum algorithm that approximates the edit distance within a larger constant factor. Our solutions are based on a framework for approximating edit distance in parallel settings. This framework requires as black box an algorithm that computes the distances of several smaller strings all at once. For a quantum algorithm, we reduce the black box to metric estimation and provide efficient algorithms for approximating it. We further show that this framework enables us to approximate edit distance in distributed settings. To this end, we provide a MapReduce algorithm to approximate edit distance within a factor of , with sublinearly many machines and sublinear memory. Also, our algorithm runs in a logarithmic number of rounds.",J. ACM,,68,3,,Association for Computing Machinery,"Edit distance, approximation algorithm, subquadratic time algorithm, quantum algorithm, parallel algorithm, MapReduce",,,41,"New York, NY, USA",,19,May,June 2021,0004-5411
10.1145/3772726.3772795,inproceedings,"Qian, Wei and Yang, Yilun and Zhu, Yi and Shao, Hui and Liu, Qi",A hybrid intelligent algorithm based on multi-decomposition strategy and error correction for electric power material procurement price forecasting,2025,10.1145/3772726.3772795,https://doi.org/10.1145/3772726.3772795,"Power engineering construction, as a core area of national infrastructure development, directly impacts project investment efficiency through its material procurement costs. This study addresses the critical issue of power material price forecasting by systematically analyzing historical procurement data and innovatively proposing a hybrid intelligent forecasting algorithm that integrates multi-decomposition strategies with error correction mechanisms. The study first employs big data analysis techniques to identify 12 key factors influencing power material prices across dimensions such as the supply chain, market supply and demand, raw material price fluctuations, and policy regulation, thereby establishing a scientifically sound framework of influencing factors for the prediction model. In terms of model construction, this research breaks through the limitations of traditional single-algorithm approaches by seamlessly integrating signal processing techniques such as wavelet decomposition and empirical mode decomposition with machine learning algorithms. Through training and validation using 1,200 sets of historical procurement data, the hybrid algorithm demonstrated outstanding predictive performance: the mean squared error (MSE) was reduced to 0.00018642, representing a tenfold improvement over traditional neural network algorithms (MSE = 0.0010561); the coefficient of determination (R²) reached 0.90614, significantly higher than the comparison algorithm (0.78986). Notably, by introducing a multi-scale decomposition strategy, the model successfully reduced the normalized root mean square error (NRMSE) and normalized mean absolute error (NMAE) by 2.06% and 1.51%, respectively; the innovative error correction mechanism further reduced the mean absolute error (MAE) by an additional 10.93%. In the specialized prediction of low-voltage switch gear, a typical power equipment item, the superiority of the hybrid algorithm is further validated. Under the new training set, the MSE remained stable at an extremely low level of 0.00066028, with an R² as high as 0.9974. In contrast, the prediction error of the traditional neural network algorithm (MSE = 0.031412) was nearly 50 times higher, and the R2 (0.86721) was also significantly inferior. This significant performance improvement is primarily attributed to: 1) the multi-decomposition strategy effectively capturing the multi-scale characteristics of price fluctuations; 2) the dynamic error correction mechanism continuously optimizing prediction accuracy; and 3) the hybrid architecture fully leveraging the complementary advantages of each sub-algorithm.",,Proceedings of the 2nd International Conference on Intelligent Computing and Data Analysis,,,446–452,Association for Computing Machinery,"electric power materials, error correction, multi-decomposition strategy, neural network, price forecasting",ICDA '25,,7,"New York, NY, USA",9798400720208,,,,
10.1145/3603112,article,"Schidler, Andr\'{e} and Szeider, Stefan",SAT-boosted Tabu Search for Coloring Massive Graphs,2023,10.1145/3603112,https://doi.org/10.1145/3603112,"Graph coloring is the problem of coloring the vertices of a graph with as few colors as possible, avoiding monochromatic edges. It is one of the most fundamental NP-hard computational problems. For decades researchers have developed exact and heuristic methods for graph coloring. While methods based on propositional satisfiability (SAT) feature prominently among these exact methods, the encoding size is prohibitive for large graphs. For such graphs, heuristic methods have been proposed, with tabu search among the most successful ones.In this article, we enhance tabu search for graph coloring within the SAT-based local improvement (SLIM) framework. Our hybrid algorithm incrementally improves a candidate solution by repeatedly selecting small subgraphs and coloring them optimally with a SAT solver. This approach scales to dense graphs with several hundred thousand vertices and over 1.5 billion edges. Our experimental evaluation shows that our hybrid algorithm beats state-of-the-art methods on large dense graphs.",ACM J. Exp. Algorithmics,,28,,,Association for Computing Machinery,"Graph coloring, SAT encoding, tabu search, SAT-based local improvement, massive graphs, experiments, cg:shop",,,19,"New York, NY, USA",,1.5,July,December 2023,1084-6654
